Date,GDEBTUS
2007-04-01,8840168
2007-05-01,8828992
2007-06-01,8867675
2007-07-01,8932438
2007-08-01,9005649
2007-09-01,9007653
2007-10-01,9079086
2007-11-01,9149341
2007-12-01,9229173
2008-01-01,9238008
2008-02-01,9358051
2008-03-01,9437594
2008-04-01,9377557
2008-05-01,9388799
2008-06-01,9492006
2008-07-01,9585480
2008-08-01,9645755
2008-09-01,10024725
2008-10-01,10574094
2008-11-01,10661175
2008-12-01,10699805
2009-01-01,10632080
2009-02-01,10877145
2009-03-01,11126941
2009-04-01,11238592
2009-05-01,11321600
2009-06-01,11545275
2009-07-01,11669277
2009-08-01,11812870
2009-10-01,11893091
2009-11-01,12113048
2009-12-01,12311350
2010-01-01,12278636
2010-02-01,12440068
2010-03-01,12773123
2010-04-01,12948739
2010-05-01,12992539
2010-06-01,13201792
2010-07-01,13237727
2010-08-01,13449653
2010-09-01,13561623
2010-10-01,13668825
2010-11-01,13860774
2010-12-01,14025215
2011-01-01,14131051
2011-02-01,14194764
2011-03-01,14270115
2011-04-01,14287630
2011-05-01,14344668
2011-06-01,14343088
2011-07-01,14342369
2011-08-01,14684293
2011-09-01,14790340
2011-10-01,14993709
2011-11-01,15110499
2011-12-01,15222940
2012-01-01,15356140
2012-02-01,15488891
2012-03-01,15582079
2012-04-01,15692368
2012-05-01,15770685
2012-06-01,15855037
2012-07-01,15933235
2012-08-01,16015770
2012-09-01,16066241
2012-10-01,16261471
2012-11-01,16369549
2012-12-01,16432730
2013-01-01,16433792
2013-02-01,16687289
2013-03-01,16771379
2013-04-01,16828844
2013-05-01,16738822
2013-06-01,16738320
2013-07-01,16738599
2013-08-01,16738650
2013-09-01,16738184
2013-10-01,17156116
2013-11-01,17217152
2013-12-01,17351972
2014-01-01,17293020
2014-02-01,17463228
2014-03-01,17601228
2014-04-01,17508436
2014-05-01,17516958
2014-06-01,17632606
2014-07-01,17687136
2014-08-01,17749172
2014-09-01,17824072
2014-10-01,17937160
2014-11-01,18005548
2014-12-01,18141444
2015-01-01,18082294
2015-02-01,18155854
2015-03-01,18152056
2015-04-01,18152560
2015-05-01,18152852
2015-06-01,18151998
2015-07-01,18151324
2015-08-01,18151150
2015-09-01,18150618
2015-10-01,18152982
2015-11-01,18827324
2015-12-01,18922180
2016-01-01,19012828
2016-02-01,19125456
2016-03-01,19264940
2016-04-01,19187388
2016-05-01,19265452
2016-06-01,19381592
2016-07-01,19427696
2016-08-01,19510296
2016-09-01,19573444
2016-10-01,19805716
2016-11-01,19948064
2016-12-01,19976828
2017-01-01,19937260
2017-02-01,19959594
2017-03-01,19846420
2017-04-01,19846128
2017-05-01,19845942
2017-06-01,19844554
2017-07-01,19844908
2017-08-01,19844532
2017-09-01,20244900
2017-10-01,20442474
2017-11-01,20590392
2017-12-01,20492748
2018-01-01,20493730
2018-02-01,20855672
2018-03-01,21089644
2018-04-01,21068200
2018-05-01,21145216
2018-06-01,21195070
2018-07-01,21313060
2018-08-01,21458850
2018-09-01,21516058
2018-10-01,21702370
2018-11-01,21850094
2018-12-01,21974096
2019-01-01,21982424
2019-02-01,22115526
2019-03-01,22027880
2019-04-01,22027668
2019-05-01,22026424
2019-06-01,22023284
2019-07-01,22022368
2019-08-01,22460468
2019-09-01,22719402
2019-10-01,23008410
2019-11-01,23076200
2019-12-01,23201380
2020-01-01,23223812
2020-02-01,23409960
2020-03-01,23686872
2020-04-01,24974172
2020-05-01,25746260
2020-06-01,26477240
2020-07-01,26524952
2020-08-01,26728836
2020-09-01,26945392
2020-10-01,27135476
2020-11-01,27446288
2020-12-01,27747798
2021-01-01,27784552
2021-02-01,27902364
2021-03-01,28132570
2021-04-01,28174714
2021-05-01,28199008
2021-06-01,28529436
2021-07-01,28427722
2021-08-01,28427316
2021-09-01,28428920
2021-10-01,28908764
2021-11-01,28907988
